D-Boxes,Usable,Overhead,Total Usable Capacity TB,Error correction overhead,Total w/File System Overhead,Physical,,
95,1195.56,156.12,113578.24,2.67%,11.55%,1351.68,,
96,1195.56,156.12,114773.80,2.67%,11.55%,1351.68,,
97,1195.56,156.12,115969.36,2.67%,11.55%,1351.68,,
98,1195.56,156.12,117164.92,2.67%,11.55%,1351.68,,
99,1195.56,156.12,118360.48,2.67%,11.55%,1351.68,,
100,1195.56,156.12,119556.04,2.67%,11.55%,1351.68,,
101,1195.56,156.12,120751.60,2.67%,11.55%,1351.68,,
102,1195.56,156.12,121947.16,2.67%,11.55%,1351.68,,
103,1195.56,156.12,123142.72,2.67%,11.55%,1351.68,,
104,1195.56,156.12,124338.28,2.67%,11.55%,1351.68,,
105,1195.56,156.12,125533.84,2.67%,11.55%,1351.68,,
106,1195.56,156.12,126729.40,2.67%,11.55%,1351.68,,
107,1195.56,156.12,127924.96,2.67%,11.55%,1351.68,,
108,1195.56,156.12,129120.52,2.67%,11.55%,1351.68,,
109,1195.56,156.12,130316.08,2.67%,11.55%,1351.68,,
110,1195.56,156.12,131511.64,2.67%,11.55%,1351.68,,
111,1195.56,156.12,132707.20,2.67%,11.55%,1351.68,,
112,1195.56,156.12,133902.76,2.67%,11.55%,1351.68,,
113,1195.56,156.12,135098.32,2.67%,11.55%,1351.68,,
114,1195.56,156.12,136293.88,2.67%,11.55%,1351.68,,
115,1195.56,156.12,137489.44,2.67%,11.55%,1351.68,,
116,1195.56,156.12,138685.00,2.67%,11.55%,1351.68,,
117,1195.56,156.12,139880.56,2.67%,11.55%,1351.68,,
118,1195.56,156.12,141076.12,2.67%,11.55%,1351.68,,
119,1195.56,156.12,142271.68,2.67%,11.55%,1351.68,,
120,1195.56,156.12,143467.24,2.67%,11.55%,1351.68,,
121,1195.56,156.12,144662.80,2.67%,11.55%,1351.68,,
122,1195.56,156.12,145858.36,2.67%,11.55%,1351.68,,
123,1195.56,156.12,147053.92,2.67%,11.55%,1351.68,,
124,1195.56,156.12,148249.48,2.67%,11.55%,1351.68,,
125,1195.56,156.12,149445.04,2.67%,11.55%,1351.68,,
126,1195.56,156.12,150640.60,2.67%,11.55%,1351.68,,
127,1195.56,156.12,151836.16,2.67%,11.55%,1351.68,,
128,1195.56,156.12,153031.72,2.67%,11.55%,1351.68,,
129,1195.56,156.12,154227.28,2.67%,11.55%,1351.68,,
130,1195.56,156.12,155422.84,2.67%,11.55%,1351.68,,
131,1195.56,156.12,156618.40,2.67%,11.55%,1351.68,,
132,1195.56,156.12,157813.96,2.67%,11.55%,1351.68,,
133,1195.56,156.12,159009.52,2.67%,11.55%,1351.68,,
134,1195.56,156.12,160205.08,2.67%,11.55%,1351.68,,
135,1195.56,156.12,161400.64,2.67%,11.55%,1351.68,,
136,1195.56,156.12,162596.20,2.67%,11.55%,1351.68,,
137,1195.56,156.12,163791.76,2.67%,11.55%,1351.68,,
138,1195.56,156.12,164987.32,2.67%,11.55%,1351.68,,
139,1195.56,156.12,166182.88,2.67%,11.55%,1351.68,,
140,1195.56,156.12,167378.44,2.67%,11.55%,1351.68,,
141,1195.56,156.12,168574.00,2.67%,11.55%,1351.68,,
142,1195.56,156.12,169769.56,2.67%,11.55%,1351.68,,
143,1195.56,156.12,170965.12,2.67%,11.55%,1351.68,,
144,1195.56,156.12,172160.68,2.67%,11.55%,1351.68,,
145,1195.56,156.12,173356.24,2.67%,11.55%,1351.68,,
146,1195.56,156.12,174551.80,2.67%,11.55%,1351.68,,
147,1195.56,156.12,175747.36,2.67%,11.55%,1351.68,,
148,1195.56,156.12,176942.92,2.67%,11.55%,1351.68,,
149,1195.56,156.12,178138.48,2.67%,11.55%,1351.68,,
150,1195.56,156.12,179334.04,2.67%,11.55%,1351.68,,
151,1195.56,156.12,180529.60,2.67%,11.55%,1351.68,,
152,1195.56,156.12,181725.16,2.67%,11.55%,1351.68,,
153,1195.56,156.12,182920.72,2.67%,11.55%,1351.68,,
154,1195.56,156.12,184116.28,2.67%,11.55%,1351.68,,
155,1195.56,156.12,185311.84,2.67%,11.55%,1351.68,,
156,1195.56,156.12,186507.40,2.67%,11.55%,1351.68,,
157,1195.56,156.12,187702.96,2.67%,11.55%,1351.68,,
158,1195.56,156.12,188898.52,2.67%,11.55%,1351.68,,
159,1195.56,156.12,190094.08,2.67%,11.55%,1351.68,,
160,1195.56,156.12,191289.64,2.67%,11.55%,1351.68,,
161,1195.56,156.12,192485.20,2.67%,11.55%,1351.68,,
